"","x"
"1",0.159366909366909
"2",20.4549184299184
"3",14.9775402775403
"4",0.794848994848995
"5",0.391179541179541
"6",0.217035217035217
"7",0.131181581181581
"8",13.4674934424934
"9",0.796592596592597
"10",0.38043038043038
