"Alexis Sánchez|52280|17|5.42857142857143" "Cristiano Ronaldo|50051|7|5.42857142857143" "Edinson Cavani|52747|9|8.57142857142857"
"Alexis Sánchez|52280|17|8.57142857142857" "Cristiano Ronaldo|50051|7|8.57142857142857" "Robert Lewandowski|50037|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Dmitri Poloz|64500|7|8.57142857142857" "Edinson Cavani|52747|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Dmitri Poloz|64500|7|8.57142857142857" "Robert Lewandowski|50037|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Dries Mertens|50136|14|8.57142857142857" "Edinson Cavani|52747|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|5.14285714285714" "Dries Mertens|50136|14|5.14285714285714" "Robert Lewandowski|50037|9|5.71428571428571"
"Cristiano Ronaldo|50051|7|5.71428571428571" "Edinson Cavani|52747|9|6.42857142857143" "Kylian Mbappé|50023|29|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Edinson Cavani|52747|9|6.42857142857143" "Neymar|50080|11|5.42857142857143"
"Cristiano Ronaldo|50051|7|5" "Edinson Cavani|52747|9|5.28571428571428" "Pierre-Emerick Aubameyang|52758|17|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Edinson Cavani|52747|9|6.42857142857143" "Robert Lewandowski|50037|9|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Kylian Mbappé|50023|29|6.42857142857143" "Robert Lewandowski|50037|9|5.42857142857143"
"Cristiano Ronaldo|50051|7|5" "Neymar|50080|11|5.28571428571428" "Robert Lewandowski|50037|9|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Pierre-Emerick Aubameyang|52758|17|6.42857142857143" "Robert Lewandowski|50037|9|6.42857142857143"
